quarter,courses,professors
1,"['MATH 19A', 'CSE 20']",['Hao Yue']
2,"['MATH 19B', 'AM 10']",['Jonathan Rice Katznelson']
3,"['MATH 23A', 'CSE 30']",['Oswald A Campesato']
4,"['CSE 16', 'CSE 12']",[]
5,"['CSE 13S', 'ECE 30']",[]
6,"['CSE 40', 'CSE 101']",[]
7,"['CSE 107', 'CSE 120']",[]
8,"['CSE 130', 'CSE 101M']",[]
9,"['CSE 103', 'CSE 195']",[]
10,"['ELECTIVE', 'CSE 114A']",[]
11,['ELECTIVE'],[]
12,"['ELECTIVE', 'CAPSTONE']",[]
1,"['MATH 19A', 'CSE 20']",['Hao Yue']
2,"['MATH 19B', 'CSE 30']",['Larissa A Munishkina']
3,"['MATH 23A', 'CSE 195']",[]
4,"['ECE 30', 'CSE 40']",[]
5,"['MATH 21', 'CSE 16']",[]
6,"['CSE 12', 'STAT 131']",[]
7,['CSE 13S'],[]
8,"['CSE 120', 'CSE 101']",[]
9,"['CSE 130', 'CSE 101M']",[]
10,"['ELECTIVE', 'CSE 102']",[]
11,"['ELECTIVE', 'CSE 112']",[]
12,"['ELECTIVE', 'CAPSTONE']",[]
1,"['MATH 19A', 'CSE 195']",[]
2,"['MATH 19B', 'CSE 30']",['Larissa A Munishkina']
3,"['AM 30', 'CSE 20']",['Larissa A Munishkina']
4,"['ECE 30', 'CSE 40']",[]
5,"['MATH 21', 'CSE 16']",[]
6,"['CSE 12', 'CSE 107']",[]
7,['CSE 13S'],[]
8,"['CSE 101', 'CSE 120']",[]
9,"['CSE 130', 'CSE 114A']",[]
10,"['ELECTIVE', 'CSE 101M']",[]
11,"['ELECTIVE', 'CSE 102']",[]
12,"['ELECTIVE', 'CAPSTONE']",[]
1,"['MATH 20A', 'AM 10']",['Yonatan Katznelson']
2,"['MATH 20B', 'CSE 20']",['Benedict John Paten']
3,"['MATH 23A', 'CSE 16']",['Patrick Tantalo']
4,"['CSE 107', 'ECE 30']",[]
5,"['CSE 30', 'CSE 12']",[]
6,"['CSE 13S', 'CSE 40']",[]
7,"['CSE 120', 'CSE 101']",[]
8,"['CSE 101M', 'CSE 130']",[]
9,"['CSE 102', 'CSE 114A']",[]
10,"['ELECTIVE', 'CSE 115A']",[]
11,['ELECTIVE'],[]
12,"['ELECTIVE', 'CAPSTONE']",[]
1,"['MATH 20A', 'AM 10']",['Yonatan Katznelson']
2,"['MATH 20B', 'CSE 16']",['Allen Van Gelder']
3,"['MATH 23A', 'ECE 30']",['Marco A Rolandi']
4,"['CSE 107', 'CSE 20']",[]
5,"['CSE 30', 'CSE 12']",[]
6,"['CSE 185E', 'CSE 40']",[]
7,['CSE 13S'],[]
8,"['CSE 120', 'CSE 101']",[]
9,"['CSE 114A', 'CSE 103']",[]
10,"['ELECTIVE', 'CSE 101M']",[]
11,"['ELECTIVE', 'CSE 130']",[]
12,"['ELECTIVE', 'CAPSTONE']",[]
